dataset,n_obs,n_clusters,seed,variant,encoder,view_mode,sampling,weights,elapsed_sec,wall_sec,peak_memory_mib,ARI,NMI,AMI,FMI
mouse_brain_atac,9215,10,101,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",25.304887533187866,25.776115655899048,57.04345703125,0.3768756496172499,0.3909467245871005,0.389608119810958,0.4726991261574238
mouse_brain_atac,9215,10,101,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",25.39641284942627,25.811887979507446,57.04345703125,0.38405790415733204,0.4001677132951458,0.3988498350802451,0.47879137370229335
mouse_brain_atac,9215,10,101,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",16.82505774497986,17.130576372146606,42.1044921875,0.397714140311049,0.41453773472834937,0.41327879288152947,0.4847400713498679
mouse_brain_atac,9215,10,101,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.2322404384613037,2.4822728633880615,866.8056640625,0.36470110215271756,0.3783868986064734,0.3769524524217905,0.47358718799562133
mouse_brain_atac,9215,10,101,RNA_only,GAT,view_specific,cluster,"(1.0,)",14.857579946517944,15.158862352371216,42.0166015625,0.3027117911175729,0.3558059781450908,0.35430532626966577,0.41593596385183784
mouse_brain_atac,9215,10,101,ADT_only,GAT,view_specific,cluster,"(1.0,)",15.116247177124023,15.408507823944092,42.0166015625,0.371554883350657,0.38093854752548195,0.379640785515141,0.4589869710086551
mouse_brain_atac,9215,10,101,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",14.849997282028198,15.12704586982727,23.349609375,0.3632391862730862,0.3871216624916504,0.3857719609642,0.4688172846392445
mouse_brain_atac,9215,10,101,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",19.035967588424683,19.28735613822937,22.3349609375,0.27269082368025443,0.36880140394767863,0.3675457273732384,0.35844982572718287
mouse_brain_atac,9215,10,202,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",24.49540066719055,24.973127126693726,57.31689453125,0.38432584622585025,0.3974211546251355,0.3961220268977613,0.47465424848779664
mouse_brain_atac,9215,10,202,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",24.853784322738647,25.285152912139893,57.31689453125,0.38100313101585354,0.4132728816630963,0.4119612322317503,0.48241951764486335
mouse_brain_atac,9215,10,202,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",14.884966135025024,15.196342468261719,42.11865234375,0.3828986464938856,0.3942884675452931,0.3929300493325626,0.4871675955085811
mouse_brain_atac,9215,10,202,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.2924084663391113,2.5589535236358643,866.8056640625,0.3394910923573558,0.3642220870072039,0.3627956442211293,0.44521006390757006
mouse_brain_atac,9215,10,202,RNA_only,GAT,view_specific,cluster,"(1.0,)",14.75913143157959,15.048452138900757,41.71484375,0.29627793038973066,0.3590630692805587,0.3575717818562275,0.41670537840172583
mouse_brain_atac,9215,10,202,ADT_only,GAT,view_specific,cluster,"(1.0,)",15.347779512405396,15.630225658416748,41.71484375,0.373046605672767,0.38279435813101037,0.3814451131311123,0.46874331519409507
mouse_brain_atac,9215,10,202,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",15.341707706451416,15.616851091384888,23.3193359375,0.38276363030216903,0.4048596293897668,0.4035424213064593,0.4848425497037062
mouse_brain_atac,9215,10,202,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",20.088017463684082,20.3448166847229,22.33544921875,0.29096187227132925,0.38513846480082276,0.38391049663194493,0.3754731912634992
mouse_brain_atac,9215,10,303,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",28.37885093688965,28.831817626953125,57.3828125,0.4025869087021998,0.4113934330743531,0.41012117832002926,0.49190848189644093
mouse_brain_atac,9215,10,303,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",28.644782066345215,29.036913633346558,57.3828125,0.40353384989100843,0.4118850341656952,0.41061348223886796,0.49281115027956024
mouse_brain_atac,9215,10,303,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",15.95596981048584,16.26114797592163,42.1103515625,0.3531926262640769,0.38792681515936367,0.3865368634117732,0.4618591457121358
mouse_brain_atac,9215,10,303,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.1146669387817383,2.3915576934814453,866.8056640625,0.4025766383726164,0.42366560480306076,0.4223490538516799,0.5079007591161507
mouse_brain_atac,9215,10,303,RNA_only,GAT,view_specific,cluster,"(1.0,)",15.801613807678223,16.134298086166382,41.97705078125,0.291750746993313,0.37851622557794884,0.3771874051856862,0.39360277120111575
mouse_brain_atac,9215,10,303,ADT_only,GAT,view_specific,cluster,"(1.0,)",15.870291709899902,16.18133020401001,41.97705078125,0.355234202236779,0.3863826546550695,0.3850420587752808,0.4568659421050884
mouse_brain_atac,9215,10,303,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",15.774434328079224,16.087840795516968,23.36083984375,0.37942350798150015,0.3973719393316408,0.39608151948155956,0.47250928679701926
mouse_brain_atac,9215,10,303,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",20.343602657318115,20.60682702064514,22.3330078125,0.2931203714812312,0.3974126832244425,0.3961872549221652,0.38134716467745067
